
Personal Information	Tab Corner Right	Student Services	Tab Corner Right	Financial Aid	Tab Corner Right	Employee Services	Tab Corner Right	Additional Academic Services	Tab Corner Right
Transparent Image
Search   
RETURN TO MENU | SITE MAP | HELP
Look-Up Classes to Add:

 	
988900485 Jay W. Brink
Fall 2013
Aug 14, 2013 07:40 pm
Transparent Image
 Information	 To register for classes, check the box in front of the CRN (C identifies a closed class, NR identifies class not available for registration at this time, and SR identifies student restrictions on class) and click Register or Add to Worksheet.
Stockton Students: To register for an Independent Study, Internship, Research or non-Engineering Co-op (course will be marked NR) - Click here.

Helpful Codes
WL = Cap, Act & Rem are used only by McGeorge School of Law
Location: NBA = No Building Assigned
Sec: L = Lab; D = Discussion; ON = Online;

Sections Found
ACTY - Activity
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Act	Rem	WL Cap	WL Act	WL Rem	XL Cap	XL Act	XL Rem	Instructor	Date (MM/DD)	Location	Attribute
SR	80815	ACTY	001	01	1	1.000	Dance Team	 	TBA	20	7	13	0	0	0	0	0	0	Pacific Staff (P)	08/26-12/13	TBA	 
SR	81201	ACTY	003	01	1	1.000	Aikido	W	06:00 pm-07:20 pm	30	22	8	0	0	0	0	0	0	Torrey Allan Stadtner (P)	08/26-12/13	GYM 100	 
SR	80790	ACTY	004	01	1	1.000	Badminton	MW	11:00 am-11:50 am	24	23	1	0	0	0	0	0	0	TBA	08/26-12/13	GYM 100	 
SR	80791	ACTY	005	01	1	1.000	Bowling	T	03:00 pm-04:50 pm	40	35	5	0	0	0	0	0	0	Susan Waite (P)	08/26-12/13	WLNBWL 100	 
SR	80792	ACTY	009	01	1	1.000	Kung Fu	R	08:00 pm-09:20 pm	30	12	18	0	0	0	0	0	0	John Yim (P)	08/26-12/13	SCGYM 100	 
SR	80793	ACTY	010	01	1	1.000	Karate	R	05:00 pm-06:20 pm	60	22	38	0	0	0	0	0	0	Gregory Rudy Salgado (P)	08/26-12/13	SCGYM 100	 
SR	80794	ACTY	011	01	1	1.000	Kick Box	T	05:00 pm-06:20 pm	60	59	1	0	0	0	0	0	0	Gregory Rudy Salgado (P)	08/26-12/13	SCGYM 100	 
C	81200	ACTY	012	01	1	1.000	Running for Health	TR	10:00 am-10:50 am	30	30	0	0	0	0	0	0	0	TBA	08/26-12/13	GYM 100	 
SR	82604	ACTY	012	02	1	1.000	Running for Health	TR	10:00 am-10:50 am	15	0	15	0	0	0	0	0	0	Pacific Staff (P)	08/26-12/13	GYM 100	 
SR	80795	ACTY	016	01	1	1.000	Strength Training	TR	03:00 pm-03:50 pm	100	49	51	0	0	0	0	0	0	Antonio Sandoval (P)	08/26-12/13	ATHLET 100	 
SR	80796	ACTY	017	01	1	1.000	Swimming for Health	MWF	11:00 am-11:50 am	20	18	2	0	0	0	0	0	0	TBA	08/26-12/13	POOL COMPLEX	 
SR	80797	ACTY	018	01	1	1.000	Tennis	TR	10:00 am-11:45 am	20	18	2	0	0	0	0	0	0	TBA	08/26-12/13	COURTS TENNIS	 
SR	82567	ACTY	019	01	1	1.000	Volleyball	MWF	10:00 am-10:50 am	20	1	19	0	0	0	0	0	0	Pacific Staff (P)	08/26-12/13	GYM 100	 
C	80798	ACTY	021	01	1	1.000	Weight Training	TR	08:00 am-08:50 am	20	20	0	0	0	0	0	0	0	TBA	08/26-12/13	BAUNFI 100	 
C	80799	ACTY	021	02	1	1.000	Weight Training	TR	09:00 am-09:50 am	20	20	0	0	0	0	0	0	0	TBA	08/26-12/13	BAUNFI 100	 
SR	80800	ACTY	021	03	1	1.000	Weight Training	TR	03:00 pm-03:50 pm	100	30	70	0	0	0	0	0	0	Antonio Sandoval (P)	08/26-12/13	ATHLET 100	 
SR	80801	ACTY	021	04	1	1.000	Weight Training	MW	02:00 pm-02:50 pm	20	19	1	0	0	0	0	0	0	TBA	08/26-12/13	BAUNFI 100	 
C	80802	ACTY	022	01	1	1.000	Yoga	T	09:30 am-10:50 am	40	40	0	0	0	0	0	0	0	Victoria L Sonstroem (P)	08/26-12/13	GYM 100	 
SR	80803	ACTY	023	01	1	1.000	Self-Defense for Women	R	09:30 am-10:50 am	30	22	8	0	0	0	0	0	0	John H Smartt (P)	08/26-12/13	GYM 100	 
C	80804	ACTY	024	01	1	1.000	Basketball	TR	11:00 am-11:50 am	30	30	0	0	0	0	0	0	0	Pacific Staff (P)	08/26-12/13	GYM 100	 
SR	80805	ACTY	025	01	1	1.000	Tae-Kwon Do	M	05:00 pm-06:20 pm	40	22	18	0	0	0	0	0	0	Gregory Rudy Salgado (P)	08/26-12/13	GYM 100	 
SR	80806	ACTY	051	01	1	1.000	Basketball, Men's Intercoll.	 	TBA	20	9	11	0	0	0	0	0	0	TBA	08/26-12/13	TBA	 
SR	80807	ACTY	056	01	1	1.000	Water Polo, Men's Intercoll.	 	TBA	40	15	25	0	0	0	0	0	0	James Thomas Graham (P)	08/26-12/13	TBA	 
SR	80808	ACTY	057	01	1	1.000	Basketball, Women's Intercoll.	 	TBA	20	7	13	0	0	0	0	0	0	Lynne R. Roberts (P)	08/26-12/13	TBA	 
SR	80809	ACTY	058	01	1	1.000	Cross Country, Women Intercoll	 	TBA	20	6	14	0	0	0	0	0	0	Joshua T Jones (P)	08/26-12/13	TBA	 
SR	80810	ACTY	059	01	1	1.000	Field Hockey, Women Intercoll.	 	TBA	30	16	14	0	0	0	0	0	0	TBA	08/26-12/13	TBA	 
SR	80811	ACTY	060	01	1	1.000	Soccer, Women's Intercoll.	 	TBA	30	16	14	0	0	0	0	0	0	Keith J. Coleman (P)	08/26-12/13	TBA	 
SR	80812	ACTY	062	01	1	1.000	Volleyball, Women's Intercoll.	 	TBA	20	10	10	0	0	0	0	0	0	Gregory L. Gibbons (P)	08/26-12/13	TBA	 
SR	80813	ACTY	066	01	1	1.000	Swimming, Women's Intercoll.	 	TBA	30	14	16	0	0	0	0	0	0	Peter Lawrence Richardson (P)	08/26-12/13	TBA	 
SR	82578	ACTY	093A	01	1	1.000	Pilates	T	02:00 pm-03:20 pm	30	1	29	0	0	0	0	0	0	Victoria L Sonstroem (P)	08/26-12/13	BAUNFI WOOD	 
ANTH - Anthropology
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Act	Rem	WL Cap	WL Act	WL Rem	XL Cap	XL Act	XL Rem	Instructor	Date (MM/DD)	Location	Attribute
SR	80443	ANTH	053	01	1	4.000	Cultural Anthropology	MWF	09:30 am-10:45 am	35	30	5	0	0	0	0	0	0	Ahmed I Kanna (P)	08/26-12/13	WILSON 100	Diversity Course and Ethnic Studies Courses and GE I-C: Global Studies
C	81204	ANTH	053	02	1	4.000	Cultural Anthropology	TR	10:00 am-11:45 am	35	39	-4	0	0	0	0	0	0	Sarah M Mathis (P)	08/26-12/13	CLASRM 104	Diversity Course and Ethnic Studies Courses and GE I-C: Global Studies
SR	82192	ANTH	054	01	1	4.000	Antropología cultural	TR	03:00 pm-04:45 pm	10	8	2	0	0	0	0	0	0	Analiese M. Richard (P)	08/26-12/13	OLSON 103	Diversity Course and Ethnic Studies Courses and GE I-C: Global Studies
SR	81226	ANTH	112	01	1	4.000	Physical Anthropology	TR	10:00 am-11:45 am	30	29	1	0	0	0	0	0	0	Analiese M. Richard (P)	08/26-12/13	WILSON 100	Ethnic Studies Courses and GE III-C: Science, Tech., Soc.
NR	81037	ANTH	187	01	1	1.000-4.000	Internship	 	TBA	1	0	1	0	0	0	0	0	0	Analiese M. Richard (P)	08/26-12/13	TBA	 
NR	81038	ANTH	191	01	1	1.000-4.000	Independent Study	 	TBA	1	0	1	0	0	0	0	0	0	Analiese M. Richard (P)	08/26-12/13	TBA	 
NR	81039	ANTH	197	01	1	1.000-4.000	Independent Research	 	TBA	1	0	1	0	0	0	0	0	0	Analiese M. Richard (P)	08/26-12/13	TBA	 
ARTH - Art History
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Act	Rem	WL Cap	WL Act	WL Rem	XL Cap	XL Act	XL Rem	Instructor	Date (MM/DD)	Location	Attribute
C	80007	ARTH	007	01	1	4.000	Survey of World Art to 1400	MW	04:00 pm-05:45 pm	25	26	-1	0	0	0	0	0	0	Sand L. Kakuda (P)	08/26-12/13	ARTCEN 209	GE II-C: Visual & Perf. Arts
NR	80873	ARTH	087	01	1	2.000-4.000	Internship	 	TBA	20	0	20	0	0	0	0	0	0	Merrill Schleier (P)	08/26-12/13	TBA	 
SR	80875	ARTH	089	01	1	1.000-4.000	Practicum	 	TBA	20	0	20	0	0	0	0	0	0	Merrill Schleier (P)	08/26-12/13	TBA	 
SR	82189	ARTH	101	01	1	4.000	History of Graphic Design	TR	10:00 am-11:45 am	30	15	15	0	0	0	0	0	0	Stewart Brett DeBoer (P)	08/26-12/13	ARTCEN 209	GE II-C: Visual & Perf. Arts
SR	80439	ARTH	116	01	1	4.000	Contemp.World Art 1945-Present	TR	04:00 pm-05:45 pm	30	29	1	0	0	0	0	0	0	Merrill Schleier (P)	08/26-12/13	ARTCEN 209	Film Studies Courses and GE II-C: Visual & Perf. Arts and Gender Studies Courses and SIS Comparing World Religions
C	81346	ARTH	124	01	1	4.000	Sex, Gender and the Arts	TR	01:00 pm-02:45 pm	20	20	0	0	0	0	30	20	10	Merrill Schleier (P)	08/26-12/13	ARTCEN 209	Diversity Course and Film Studies Courses and GE II-C: Visual & Perf. Arts and Gender Studies Courses
SR	81370	ARTH	124	H	1	4.000	Sex, Gender & the Arts, Honors	TR	01:00 pm-02:45 pm	10	0	10	0	0	0	30	20	10	Merrill Schleier (P)	08/26-12/13	ARTCEN 209	Diversity Course and Film Studies Courses and GE II-C: Visual & Perf. Arts and Gender Studies Courses
NR	80874	ARTH	187	01	1	2.000-4.000	Internship	 	TBA	20	0	20	0	0	0	0	0	0	Pacific Staff (P)	08/26-12/13	TBA	 
SR	80822	ARTH	189	01	1	1.000-4.000	Practicum	 	TBA	20	0	20	0	0	0	0	0	0	Pacific Staff (P)	08/26-12/13	TBA	 
NR	80814	ARTH	191	01	1	2.000-4.000	Independent Study	 	TBA	1	0	1	0	0	0	0	0	0	Pacific Staff (P)	08/26-12/13	TBA	 
ARTS - Studio Art
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Act	Rem	WL Cap	WL Act	WL Rem	XL Cap	XL Act	XL Rem	Instructor	Date (MM/DD)	Location	Attribute
C	80529	ARTS	005	01	1	3.000	Drawing	TR	09:00 am-11:50 am	10	14	-4	0	0	0	0	0	0	Lucinda L. Kasser (P)	08/26-12/13	ART 107	GE II-C: Visual & Perf. Arts
C	81237	ARTS	005	02	1	3.000	Drawing	TR	01:00 pm-03:50 pm	10	13	-3	0	0	0	0	0	0	Lucinda L. Kasser (P)	08/26-12/13	ART 107	GE II-C: Visual & Perf. Arts
C	82487	ARTS	005	03	1	3.000	Drawing	MW	01:00 pm-03:50 pm	10	10	0	0	0	0	0	0	0	Deanna Gayle Hunt (P)	08/26-12/13	ART 107	GE II-C: Visual & Perf. Arts
C	80530	ARTS	007	01	1	3.000	Two-Dimensional Design & Color	MW	01:00 pm-03:50 pm	10	14	-4	0	0	0	0	0	0	Marie Anna Lee (P)	08/26-12/13	ART 102	GE II-C: Visual & Perf. Arts
C	80531	ARTS	007	02	1	3.000	Two-Dimensional Design & Color	TR	01:00 pm-03:50 pm	10	14	-4	0	0	0	0	0	0	Jill A Vasileff (P)	08/26-12/13	ART 102	GE II-C: Visual & Perf. Arts
SR	82594	ARTS	007	03	1	3.000	Two-Dimensional Design & Color	TR	07:00 pm-09:50 pm	10	3	7	0	0	0	0	0	0	Monika M Meler (P)	08/26-12/13	ART 102	GE II-C: Visual & Perf. Arts
C	80532	ARTS	021	01	1	3.000	Life Drawing I	MW	04:00 pm-06:50 pm	12	15	-3	0	0	0	20	20	0	Monika M Meler (P)	08/26-12/13	ART 106	 
SR	81347	ARTS	023	01	1	3.000	Painting I	MW	09:00 am-11:50 am	15	11	4	0	0	0	20	11	9	Lucinda L. Kasser (P)	08/26-12/13	ART 106	 
